시설물분류(대),시설물분류(중),시설물분류(소),공종분류(대),공종분류(중),위험발생객체분류(대),위험발생객체분류(중),위험발생위치분류(대),위험발생위치코드(중),위험발생위치분류(중),위험발생위치분류(소),작업프로세스명,물적피해,인적피해,사고원인,사고가능성,사고심각성,설계단계,시공단계
건축,건축물,운동시설,건축,철근콘크리트공사,건설자재,철근,내부,24,철근,바닥,조립작업,전도,깔림,철근 전도방지 지지대 미설치,M(2),H(4),<잔여위험요소로 반영>,수직 철근의 전도방지지대를 설치
건축,건축물,운동시설,건축,철근콘크리트공사,건설자재,철근,내부,24,철근,바닥,이동,없음,찔림,(해당없음),M(2),H(4),<잔여위험요소로 반영>,노출된 철근의  단부 캡을 설치 등 안전수칙 준수
건축,건축물,운동시설,건축,철근콘크리트공사,가시설,거푸집,내부,2,거푸집,고소,타설작업,붕괴,깔림,타설속도 과다 및 타이 하중 초과 (측압과다),H(3),H(4),타설 측압 검토 및 시공도 작성,수직벽체의 거푸집은 버팀대를 설치
건축,건축물,운동시설,건축,철근콘크리트공사,가시설,강관동바리,내부,11,강관동바리,고소,타설작업,붕괴,깔림,구조검토 없이 임의설치,H(3),H(4),강관동바리 구조검토 및 설치 주의 사항 명시,구조검토 조건 및 설치 안전기준 준수토록  관리
건축,건축물,운동시설,건축,철근콘크리트공사,가시설,시스템동바리,내부,15,시스템동바리,고소,타설작업,붕괴,깔림,구조검토 없이 임의설치,H(3),H(4),시스템동바리 구조검토 및 설치 주의 사항 명시,구조검토 조건 및 설치 안전기준 준수토록  관리
건축,건축물,운동시설,건축,철근콘크리트공사,가시설,강관동바리,외부,11,강관동바리,바닥,타설작업,붕괴,깔림,기초 지반침하,H(3),H(4),지반 다짐 및 동바리 하부 T100이상 무근 콘크리트 타섷후 동바리 설치,"우천 후  지반위 동바리 등 가설물의 처짐, 수직도 변형등 이상점검하여 조치"
건축,건축물,운동시설,건축,철근콘크리트공사,가시설,강관동바리,외부,11,강관동바리,바닥,타설작업,붕괴,깔림,존치기간 미준수,H(3),H(4),설계에 거푸집 및 동바리 해체시 존치기간 및 유의사항을 명시,거푸집 및 동바리 해체구간은 구획하여 출입을 통제
건축,건축물,운동시설,건축,철근콘크리트공사,건설자재,데크플레이트,내부,28,데크플레이트,바닥,타설작업,낙하,깔림,고정불량,H(3),H(4),데크플레이트 고정상세도면 작성,측벽거푸집 전도방지 조치
건축,건축물,운동시설,건축,철근콘크리트공사,가시설,안전시설물,내부,112,안전시설물,고소,이동,없음,떨어짐(분류불능),(해당없음),H(3),H(4),단부 및 개구부에 덮게등 안전시설물 설치도를 작성,"안전시설물의 규격은 제반규정을 준수하여 설치하며, 기능을 유지하도록 관리계획 수립"
건축,건축물,운동시설,건축,가설공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),바닥,양중작업,전도,깔림,"양중물의 조건 미반영, 제원 부족",M(2),H(4),"양중물의 무게, 작업반경을 고려하여 이동식크레인을 선정",지반의 지내력을 확인한후 적정한 크기의 깔판을 설치
건축,건축물,운동시설,건축,가설공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),바닥,양중작업,낙하,물체에 맞음,인양물 줄걸이 안전성 검토없이 작업,M(2),H(4),"슬링 로프의 안전율의 적용기준,  관리 및 안전성검토 예시를 도면에 명시",인양작업 전 후크해지장치의 동작을 점검 후 작업
건축,건축물,운동시설,건축,조적공사,부재,조적벽체,내부,22,조적벽체,고소,쌓기작업,전도,깔림,쌓기 기준 미준수,M(2),H(4),<잔여위험요소로 반영>,조적벽 시공(안전)수칙을 준수
건축,건축물,운동시설,건축,방수공사,시설물,건물,내부,20,건물,지하,기타,없음,질식,(해당없음:공기질 저하),M(2),H(4),<잔여위험요소로 반영>,밀폐공간 관리프로그램을 운영
건축,건축물,운동시설,건축,가설공사,기타,"전주, 전선",내부,115,"전주, 전선",바닥,연결작업,기타,감전,"접지 미비, 절연손상 및 충전부 노출",M(2),H(4),<잔여위험요소로 반영>,가설전기 설치 안전수칙 준수
건축,건축물,운동시설,건축,철골공사,부재,철골부재,지붕,14,철골부재,고소,설치작업,없음,떨어짐(분류불능),없음 (안전시설 미설치),M(2),H(4),<잔여위험요소로 반영>,철골 지붕보는 인양 전 지반에서 수평구명줄을 설치하여 양중하여 설치
건축,건축물,운동시설,건축,지붕 및 홈통공사,건설자재,자재,지붕,139,자재,고소,설치작업,없음,떨어짐(분류불능),없음 (안전시설 미설치),M(2),H(4),<잔여위험요소로 반영>,지붕 판넬설치전 (철골 지붕 설치후) 추락방지 안전망을 설치
건축,건축물,운동시설,건축,철근콘크리트공사,건설자재,자재,내부,139,자재,바닥,이동,없음,넘어짐(물체에 걸림),없음 (이동통로 미설치),M(2),H(4),<잔여위험요소로 반영>,철근배근 위 작업자 이동용 통로 설치
건축,건축물,운동시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,바닥,굴착작업,없음,깔림,굴착사면 지반의 종류 고려하지 않고 과굴착,M(2),H(4),굴착토질에 따른 경사각 확보,"사면 보호, 배수계획을 수립"
건축,건축물,운동시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,바닥,쌓기작업,없음,깔림,터파기면 상단 적재,M(2),H(4),<잔여위험요소로 반영>,되메움토 적재시 굴착선단에서 토공영향선 바같으로 이격하여 적재
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,시스템동바리,내부,15,시스템동바리,상부(위),설치작업,붕괴,깔림,임의시공 및 안전조치 미흡,M(2),M(4),시스템동바리 구조계산 및 상세도면 작성,시공 전 높이 5미터 이상 시스템동바리 설치구간 구조검토 실시
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,강관동바리,내부,11,강관동바리,상부(위),설치작업,붕괴,깔림,임의시공 및 안전조치 미흡,M(2),M(4),거푸집동바리 안전조치 및 강관동바리 설치시 수평연결재 설치 반영,시공 전 강관동바리 구조계산 및 상세도면 작성
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,작업발판,내부,13,작업발판,하부(아래),설치작업,없음,떨어짐(분류불능),작업발판 난간 미설치,M(2),M(4),계단실 작업발판 설치 도면 작성,작업발판 상부에 중량물 적재 금지
건축,건축물,교육연구시설,기타,기타,가시설,비계,내부,10,비계,상부(위),마감작업,붕괴,떨어짐(분류불능),조립상세도 미준수,M(2),M(4),이동식틀비계 조립상세도 작성,이동식틀비계 고정스토퍼 설치
건축,건축물,교육연구시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),조립작업,붕괴,깔림,조립불량,M(2),M(4),"비계 설치, 해체작업 준수",비계 설치구간에 따라 구조검토 실시 후 시공상세도면 반영
건축,건축물,교육연구시설,전기설비,전기설비공사,시설물,건물,내부,20,건물,상부(위),용접작업,화재,화재,화재예방미흡,M(2),M(5),화재예방대책 수립,용접 작업 시 화재감시인 배치
건축,건축물,교육연구시설,기타,기타,가시설,안전시설물,내부,112,안전시설물,상부(위),설치작업,없음,떨어짐(분류불능),안전난간 미설치,M(2),M(3),"구조물 단부 및 개구부에 안전난간 설치, 안전대 설치 등추락방지조치 실시",고소작업시 안전대걸이에 2인 이상 걸기 금지
건축,건축물,교육연구시설,기타,기타,기타,기타,내부,999,기타,바닥,설치작업,화재,화재,가설전기 취급 미흡,M(2),M(5),이동전선 관리방법 및 누전차단기 설치,가설전기 안전시공 및 주의사항 준수하여 시공
건축,건축물,교육연구시설,기타,기타,기타,기타,내부,999,기타,지하,기타,기타,질식,환기미실시,M(2),M(4),밀폐공간 환기실시,밀폐공간 환기량계산 실시
건축,건축물,교육연구시설,건축,철골공사,부재,철골부재,지붕,14,철골부재,상부(위),인양작업,전도,물체에 맞음,중량물 인양 안전성검토 미흡,M(2),M(4),"이동식크레인 중량물 인양검토, 지내력검토 실시",이동식크레인 하부 전도방지조치 실시
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설자재,철근,내부,24,철근,상부(위),설치작업,없음,찔림,철근 안전캡 미설치,M(2),M(3),구조물 철근 설치 시 돌출된 연직 철근에 안전캡이 시공되도록 설치기준도면 반영,철근안전캡 현장에 상시 구비
건축,건축물,교육연구시설,기타,기타,기타,기타,내부,999,기타,바닥,마감작업,폭발,화재,도장자재 보관 미흡,M(2),M(2),도장자재 보관 방법 표기,도장자재 보관 부근 소화기 배치 및 작업 전 MSDS 교육 실시
건축,건축물,교육연구시설,기타,기타,기타,기타,내부,999,기타,옆,도장작업,없음,기타,작업자 보호구 미착용,M(2),M(2),도장작업 시 작업자 보호구 착용,에어스프레이건 바름면과 이격거리 300mm 준수
건축,건축물,교육연구시설,전기설비,전기설비공사,시설물,건물,내부,20,건물,상부(위),설비작업,붕괴,깔림,안전시공절차 미준수,M(2),M(5),전기설비공사 안전시공절차 준수,작업순서 준수
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설자재,철근,내부,24,철근,상부(위),조립작업,붕괴,깔림,전도방지조치 미흡,M(2),M(3),파이프서포트로 경사버팀대를 설치하여 철근전도방지조치 도면 작성,서포트고정목의 고정상태 확인
건축,건축물,교육연구시설,건축,조적공사,부재,조적벽체,내부,22,조적벽체,앞,설치작업,붕괴,깔림,전도방지조치 미흡,M(2),M(3),조적벽 설치 시 전도방지조치 실시,작업자 개인 보호구 착용
토목,도로,도로,토목,토공사,기타,비산물,외부,141,비산물,하부(아래),장약 및 발파작업,"파열,파단",물체에 맞음,비산석,M(2),M(3),비산방지 방호시설물 설치 및 작업자 대피장소/경로 등 수립,"화약관리방안(보관장소, 일별 출고량, 사용수량 등) 수립"
토목,도로,도로,토목,토공사,건설기계,불도저,외부,116,불도저,하부(아래),설치작업,없음,끼임,장비전도,M(3),M(3), 장비주행 안전성 확보를 위한 쇄석매트 포설 및 장비별 지지력 안전성 검토,쇄석매트 포설시 진흙 혼힙 여부 확인 및 시공두께 준수
토목,도로,도로,토목,토공사,토사 및 암반,성토사면,외부,200,성토사면,하부(아래),쌓기작업,붕괴,깔림,외부 유입수,M(3),M(3),흙쌓기 비탈면에 법면보호용 청천막 및 배수로 설치,배수로 및 방수포 관리 철저
토목,도로,도로,토목,토공사,건설기계,굴착기,외부,117,굴착기,하부(아래),굴착작업,없음,깔림,작업계획서 미작성,M(2),M(2), 차량계 건설기계 작업방법 등에 대한 작업계획 수립,"건설기계 및 작업자 이동동선 구분, 건설기계 운용시 교육"
토목,도로,도로,토목,말뚝공사,건설기계,천공기,외부,47,천공기,상부(위),천공작업,없음,떨어짐(분류불능),추락방지 조치 미흡,M(3),M(2),"접근금지구역 설정, 리더 승하강 작업시 수직생명줄 및 추락방지대 설치","천공기 이동 중 고압선 감전, 전도위험에 따른 이동경로 사전점검"
토목,도로,도로,토목,말뚝공사,부재,기성말뚝,외부,50,기성말뚝,상부(위),정리작업,없음,떨어짐(분류불능),안전덮개 미설치,M(2),H(4),"두부정리(두부절단) 후 토사 및 근로자의 안전, 오물유입 방지 위한 파일 캡 설치",말뚝 개구부 안전시설물 상세도 작성 및 준수
토목,도로,도로,토목,교량공사,가시설,비계,외부,10,비계,하부(아래),설치작업,붕괴,떨어짐(분류불능),조립기준 미준수,M(3),M(3),조립기준 준수(무너짐 및 작업자 떨어짐에 대한 위험요소 개선),조립도에 따른 시스템 비계 설치
토목,도로,도로,토목,교량공사,건설자재,철근,외부,24,철근,상부(위),조립작업,없음,찔림,철근 안전캡 미설치,M(2),M(2),철근 안전캡 시공으로 근로자 찔림위험 제거,수직철근 시공 시 철근의 전도방지 조치 (철근 사보강 시행)
토목,도로,도로,토목,교량공사,가시설,거푸집,외부,2,거푸집,옆,타설작업,붕괴,깔림,구조 안정성 미검토,M(2),H(4),벽체 거푸집 구조안정성 검토(구조계산서 작성),"콘크리트 타설 시 속도 및 긴결상태, 거푸집 변위 여부 확인 철저"
토목,도로,도로,토목,교량공사,가시설,시스템동바리,외부,15,시스템동바리,하부(아래),설치작업,붕괴,깔림,구조 안정성 미검토,M(3),M(3),구조안정성 검토(구조계산서 작성),"재사용 가설기자재 검수방법, 품질관리 철저"
토목,도로,도로,토목,교량공사,가시설,거푸집,외부,2,거푸집,상부(위),설치작업,"파열,파단",떨어짐(분류불능),라운드 발판 탈락,M(3),M(3),"라운드 발판 연결부(수평, 수직 조인트 볼트) 견고히 체결 및 하부 앙카 클램프 설치",거푸집 조립 및 해체시 안전수칙 준수
토목,도로,도로,토목,교량공사,부재,교각 기초,외부,59,교각 기초,상부(위),설치작업,없음,떨어짐(분류불능),추락방지조치 미흡,M(3),M(3),안전난간 설치로 교좌장치 시공시 협소에 따른 추락사고 예방(지상조립 및 크레인 거치),지상에서 조립 가능한 부재는 사전 조립(고소작업 최소화)
토목,도로,도로,토목,교량공사,부재,거더,외부,19,거더,상부(위),설치작업,충돌,물체에 맞음,강선반발,M(3),M(3),"작업시 외부인 출입 통제, 긴장후면 작업자 배제",긴장 측면에서 인장작업
토목,도로,도로,토목,교량공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),바닥,양중작업,전도,깔림,지지력 미확보,M(3),M(3),아웃트리거 하부 철판 설치(지반침하로 인한 장비전도 방지),충분한 지지력이 확보된 견고한 지반에서 거치
토목,도로,도로,토목,교량공사,부재,거더,외부,19,거더,하부(아래),운반작업,"파열,파단",깔림,고정상태 불량,M(3),M(3),"편하중 방지 및 전도방지 (충분한 길이의 받침목 사용, 낙하방지 위한 견고한 로프묶음)",트레일러 사용전 시험운행을 통한 이동경로 확인
토목,도로,도로,토목,교량공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),상부(위),양중작업,전도,깔림,양중능력 초과,M(3),M(3),"크레인 제원, 작업 반경에 따른 양중능력 검토 등 장비 안전성 검증","총 하중에 관한 최소 요구 허용지지력, 와이어, 인양고리 점검"
토목,도로,도로,토목,교량공사,부재,거더,외부,19,거더,상부(위),거치작업,전도,떨어짐(분류불능),고정상태 불량,M(3),M(3),거더 전도방지 시설 설계도서 반영 및 현장 안전조치사항 명기,한경간의 거더 설치완료 후 낙하 및 추락방지망 설치
토목,도로,도로,토목,교량공사,가시설,낙하물방지망,외부,36,낙하물방지망,상부(위),고소작업,없음,떨어짐(분류불능),설치기준 미준수,M(3),M(3),"추락 방지망 설치(인장 강도가 충분하고, 그물코 간격이 10cm 이하 검정품 사용)",승강트랩 설치하여 근로자가 안전하게 승강하도록 조치
토목,도로,도로,토목,철근콘크리트공사,기타,유증기,내부,228,유증기,하부(아래),마감작업,없음,질식,산소부족,M(3),M(3),"산소농도 측정 및 공기호흡기, 송기마스크 착용, 감시인 배치",작업조 교대운영을 통한 장기간 유해가스 노출방지
토목,도로,도로,토목,토공사,시설물,옹벽,외부,16,옹벽,상부(위),고소작업,없음,떨어짐(분류불능),추락방지조치 미흡,M(3),M(3),추락방지시설 설치 (쌍줄비계를 이용한 안전난간 설치 등),장비의 중량 등을 고려한 접근한계 설정 및 준수
토목,도로,도로,토목,토공사,건설기계,롤러,외부,122,롤러,상부(위),부설 및 다짐작업,충돌,부딪힘,출입통제 미비,M(3),M(2),"다짐작업시 작업반경내 근로자 출입금지, 유도원 배치",최소 1미터 이내 중장비 사용금지
토목,도로,도로,토목,토공사,건설기계,천공기,외부,47,천공기,하부(아래),천공작업,"파열,파단",깔림,이동통로 불안정,M(3),M(3),천공장비의 전도·전락방지를 위한 이동통로 확보,근로자의 협착 및 충돌재해방지를 위한 이동경로 출입통제
토목,도로,도로,토목,관공사,부재,배관,외부,214,배관,하부(아래),상차 및 하역작업,"파열,파단",깔림,구름방지용 받침목 미설치,M(2),M(3),구름방지용 받침목 설치 및 적정높이(1.2m 이하)로 적재,작업구역 출입금지 조치
토목,도로,도로,토목,관공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,안전구배 미준수,M(2),H(4),굴착법면 붕괴방지 위한 지반특성에 따른 안전구배 유지 및 굴착,굴착시 보행자 이동에 불편이 없도록 임시보행로 확보
토목,도로,도로,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),굴착작업,붕괴,깔림,구조검토 관리 미흡,M(3),M(3),구조검토를 통한 안전성 확보 및 충분한 작업공간 확보,흙막이판 뒷면에는 철저한 다짐을 통한 토사 및 누수유출 방지
토목,도로,도로,토목,토공사,건설기계,천공기,외부,47,천공기,하부(아래),천공작업,전도,깔림,전도 위험조치 미흡,M(3),M(3),"작업구역 지반평탄화 및 침하방지조치, 작업반경 내 근로자 출입금지",작업구간 경사법면의 부석제거 및 낙석방지망 설치
토목,도로,도로,토목,도로 및 포장공사,건설기계,롤러,외부,122,롤러,뒤,부설 및 다짐작업,충돌,부딪힘,경보장치 미흡,M(3),M(2),"후진경보기 설치 및 안전요원 배치, 작업반경내 접근금지",포장장비 후진시 후방경계 강화
토목,도로,도로,토목,도로 및 포장공사,기타,차량,외부,98,차량,옆,부설 및 다짐작업,충돌,부딪힘,교통처리 미흡,M(3),M(3),단계별 교통처리계획 수립 및 안전시설물 설치,"예상가능한 안전사고 발생지점 및 민원 등 사전파악, 조치"
토목,도로,도로,토목,토공사,기타,기타,외부,999,기타,하부(아래),벌목작업,없음,물체에 맞음,안전거리 미확보,M(3),M(2),"로프 등으로 전도되는 방향유도, 버팀대 등 설치로 근로자 쪽으로 쓰러지지 않도록 유도",벌목한 나무의 야적시 적정 높이 유지
토목,도로,도로,토목,교량공사,기타,기타,외부,999,기타,하부(아래),타설작업,붕괴,떨어짐(분류불능),구조검토 미흡,M(3),H(4),구조검토를 통해 자중 및 작업하중을 견딜 수 있는 받침 설치방법 결정,캔틸레버부 단부에서의 떨어짐 방지 안전난간 설치
토목,상하수도,하수도,토목,해체 및 철거공사,기타,비산물,인접주변,141,비산물,바닥,해체작업,없음,질병,먼지비산,M(3),M(3),비산먼지 억제를 위한 세륜차시설 상세도 및 휀스 상세도면 반영,작업구간 주기적 살수로 비산먼지 발생 억제
토목,상하수도,하수도,토목,해체 및 철거공사,건설기계,굴착기,외부,117,굴착기,바닥,해체작업,없음,질병,브레이커 장시간 사용,M(2),M(2),저소음 브레이커 사용,"30분마다 주기적인 휴식 및 귀덮개,귀마개 등 보호구 착용"
토목,상하수도,하수도,토목,토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,우수유입,M(2),H(4),우수유입 방지용 법면보호필름 및 배수로 설치도면 반영,작업자 안전벨트 착용상태 확인 철저
토목,상하수도,하수도,토목,토공사,부재,배관,외부,214,배관,하부(아래),양중작업,"파열,파단",깔림,와이어로프 파단,M(3),M(3),매달기 와이어로프 파단방지 조치(H형강 상단에 완충고무 또는 각재 설치),설계도서 준수하여 설치
토목,상하수도,하수도,토목,토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,안식각 미준수,M(2),H(4),지반조사결과를 반영한 관로 굴착구배 설계도서 작성,굴착구배 준수시공 및 맨홀 개구부 덮개 설치
토목,상하수도,하수도,토목,토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),이동,없음,떨어짐(분류불능),승강설비 미설치,M(3),M(3),흙막이 승하강용 사다리 시공상세도 작성,사다리 사용 안전수칙 준수
토목,상하수도,하수도,토목,토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,굴착면 하중증가,M(2),H(4),굴착깊이 이상 이격하여 굴착토사 적재 도면 작성,지하수 유입시 배수처리 철저
토목,상하수도,하수도,토목,토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,조립불량,M(3),H(4),조립식 간이흙막이 시공순서도 작성,조립상세도 준수 시공
토목,상하수도,하수도,토목,토공사,시설물,옹벽,외부,16,옹벽,상부(위),굴착작업,없음,떨어짐(분류불능),안전난간대 미설치,M(2),M(3),"옹벽 상부, 흙막이 단부 안전난간대 도면 반영",작업자 안전벨트 착용 상태확인 철저
토목,상하수도,하수도,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,상부(위),굴착작업,없음,떨어짐(분류불능),안전대 부착설비 미설치,M(3),H(4),흙막이 벽체 띠장 안전대 부착설비 도면 작성,작업자 안전벨트 착용 상태확인 철저
토목,상하수도,하수도,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,구조계산 미실시,M(3),H(4),흙막이가시설 구조계산 실시,흙막이 설치·해체 시공순서 준수
토목,상하수도,하수도,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,바닥,굴착작업,기타,없음,지하수 유입,H(4),M(3),지수제 도포방법 준수하여 시공,접합부 상세기준 준수하여 시공
토목,상하수도,하수도,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,바닥,설치작업,기타,없음,수직도 미확보,M(3),M(3),가이드 빔 설치 상세도 도면 반영,시트파일과 H-Pile 사이에 쐐기 설치하여 파일 유동 방지
토목,상하수도,하수도,토목,철근콘크리트공사,건설자재,철근,외부,24,철근,하부(아래),설치작업,전도,깔림,철근 전도방지 설치 미흡,M(2),H(4),옹벽철근 설치작업시 전도방지 버팀대 설치 도면반영,작업 전 철근 버팀대 설치
토목,상하수도,하수도,토목,가설공사,건설기계,굴착기,외부,117,굴착기,뒤,쌓기작업,전도,부딪힘,주변통제 미흡,M(3),M(2),"신호수 배치 및 장비 운용(후방카메라, 자석식 탄력봉) 예시도 작성",건설장비와 보행자 동선분리 및 작업구간내 출입통제
토목,상하수도,하수도,토목,가설공사,건설기계,굴착기,외부,117,굴착기,하부(아래),쌓기작업,낙하,깔림,안전핀 체결 미흡,M(3),H(4),굴착기 커플러 안전핀 체결 예시 도면 반영,안전핀 비규격품 사용 금지
토목,상하수도,하수도,토목,도로 및 포장공사,건설기계,롤러,외부,122,롤러,하부(아래),부설 및 다짐작업,충돌,깔림,안전계획 미수립,M(3),M(3),포장 안전작업도 작성,포장작업 시공순서 준수
토목,상하수도,하수도,토목,관공사,건설기계,덤프트럭,외부,23,덤프트럭,뒤,운반작업,충돌,부딪힘,교통처리계획 미흡,M(2),H(4),공사중 교통처리계획도를 설계도서에 반영,교통안전시설 설치
토목,상하수도,하수도,토목,관공사,건설기계,덤프트럭,외부,23,덤프트럭,하부(아래),운반작업,전도,깔림,신호수 미배치,M(3),M(3),신호수 및 장비유도자 배치 안전작업도 작성,"신호수,장비 유도원 배치관리"
토목,상하수도,하수도,토목,철근콘크리트공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),하부(아래),이동,전도,깔림,지반 지지력 부족,M(3),H(4),크레인 전도방지 지내력 검토,와이어로프 확인 및 유도로프 설치
토목,상하수도,하수도,토목,철근콘크리트공사,가시설,강관동바리,외부,11,강관동바리,상부(위),타설작업,붕괴,떨어짐(분류불능),구조해석 미실시,M(2),H(4),높이 5m 이상구간 동바리 구조검토 실시,동바리 구조검토 및 조립도 작성후 시공실시
토목,상하수도,하수도,토목,철근콘크리트공사,건설자재,철근,외부,24,철근,바닥,설치작업,없음,찔림,안전시설 미설치,M(2),H(4),"철근작업용 실족방지망, 안전캡 설계도면에 표기",철근 직경에 맞는 안전캡 적용
토목,상하수도,하수도,토목,철근콘크리트공사,기타,기타,지붕,999,기타,상부(위),설치작업,없음,떨어짐(분류불능),안전대 부착설비 미설치,M(2),H(4),지붕 판넬 설치 안전작업 예시도 작성,고소작업 시 근로자 안전고리 체결 철저
토목,상하수도,하수도,토목,가설공사,가시설,안전시설물,내부,112,안전시설물,상부(위),마감작업,없음,떨어짐(분류불능),안전시설 미설치,H(4),H(4),추락방지망 설치 도면 반영,수직방망 설치 후 올바른 작업발판 사용
토목,상하수도,하수도,토목,철근콘크리트공사,건설자재,천정패널,내부,100,천정패널,하부(아래),설치작업,낙하,물체에 맞음,접합불량,M(2),M(3),천장 보강 시공상세도 작성,고소작업대 사용시 안전기준 준수
토목,상하수도,하수도,토목,철근콘크리트공사,기타,기타,내부,999,기타,바닥,용접작업,화재,질식,불티비산,M(2),H(4),화기작업 안전작업 예시도 작성,화재감시자 배치
토목,상하수도,하수도,토목,철근콘크리트공사,기타,기타,내부,999,기타,상부(위),이동,없음,떨어짐(분류불능),안전시설물 미설치,M(3),H(4),OPEN 구간 안전난간대 및 추락방지망 도면 반영,거푸집 제거 후 즉시 추락방지 조치 필요
토목,상하수도,하수도,토목,철근콘크리트공사,건설기계,고소작업차(고소작업대 등),외부,237,고소작업차(고소작업대 등),상부(위),설치작업,없음,떨어짐(분류불능),안전대 미착용,M(3),H(4),수직구명줄 설치 및 추락방지대 체결 예시도 작성,작업구역 내 근로자 통제 및 안전대 체결확인 철저
토목,상하수도,하수도,토목,철근콘크리트공사,기타,기타,내부,999,기타,바닥,용접작업,없음,질식,환기시설 미설치,H(4),H(4),밀폐공간 환기시설 설치 및 환기량 계산,밀폐공간 작업안전수칙 준수
토목,상하수도,하수도,토목,철근콘크리트공사,부재,철골부재,외부,14,철골부재,상부(위),조립작업,없음,떨어짐(분류불능),구명줄 미설치,M(2),H(4),안전대 걸이용 구명줄 상세도면 작성,지상에서 안전걸이 시설을 미리 설치 후 인양
토목,상하수도,하수도,토목,철근콘크리트공사,부재,철골부재,외부,14,철골부재,상부(위),설치작업,없음,떨어짐(분류불능),추락방지망 미설치,M(2),H(4),철골작업 추락방지망 설치 예시도 반영,추락방지망 설치기준 준수
토목,상하수도,하수도,토목,철근콘크리트공사,건설기계,고소작업차(고소작업대 등),외부,237,고소작업차(고소작업대 등),상부(위),설치작업,전도,떨어짐(분류불능),작업계획 미수립,M(2),H(4),고소작업대 안전작업도 작성,관리감독자의 감독 철저
토목,도로,도로,토목,토공사,건설기계,굴착기,외부,117,굴착기,하부(아래),굴착작업,없음,깔림,작업계획서 미작성,M(2),M(2), 차량계 건설기계 작업방법 등에 대한 작업계획 수립,"건설기계 및 작업자 이동동선 구분, 건설기계 운용시 교육"
토목,도로,도로,토목,토공사,토사 및 암반,성토사면,외부,200,성토사면,하부(아래),쌓기작업,붕괴,깔림,외부 유입수,M(3),M(3),흙쌓기 비탈면에 법면보호용 청천막 및 배수로 설치,배수로 및 방수포 관리 철저
토목,도로,도로,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),운반작업,없음,깔림,결속해지,M(2),M(3),Lug에 샤클 등 달기기구 체결 및 2줄 걸이 이상의 방법으로 말뚝자재 인양,인양물(중량물)의 하부 근로자 출입통제 철저
토목,도로,도로,토목,토공사,건설기계,항타 및 항발기,외부,204,항타 및 항발기,하부(아래),항타 및 항발작업,없음,부딪힘,통제수 미배치,M(3),M(2),이동경로 출입통제(부딪힘 및 끼임 등 재해방지),이동통로 안전성 확보(장비의 뒤집힘 및 쓰러짐 방지)
토목,도로,도로,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,상부(위),굴착작업,붕괴,깔림,변형발생,M(2),H(4),코너버팀대와 띠장 연결부는 밀림을 방지하기 위하여 스토퍼 설치,비용접식 기성품 스티프너 사용
토목,도로,도로,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,상부(위),굴착작업,없음,떨어짐(분류불능),추락방지 조치 미흡,M(2),M(2),추락 예방을 위한 안전난간 및 승강시설 설치_설계반영,단부 발생 시 안전난간 설치 철저
토목,도로,도로,토목,토공사,기타,"전주, 전선",외부,115,"전주, 전선",바닥,굴착작업,"파열,파단",감전,"접지, 절연불량",M(3),M(3),감전방지용 누전차단기 설치,감전발생을 고려한 사전 안전 및 응급조치 교육 시행
토목,도로,도로,토목,말뚝공사,건설기계,천공기,외부,47,천공기,상부(위),천공작업,없음,떨어짐(분류불능),추락방지 조치 미흡,M(3),M(2),"접근금지구역 설정, 리더 승하강 작업시 수직생명줄 및 추락방지대 설치","천공기 이동 중 고압선 감전, 전도위험에 따른 이동경로 사전점검"
